Тикер,ISIN,Рынок,Операция,Количество,Цена,Валюта,Сумма,P/L по закрытым сделкам,Комиссия,Валюта комиссии,Дата сделки,Расчеты,Id/OrderId,Stamp Tax,SMAT,Order ID,Курс,Сумма в руб,Комиссия брокера руб,Итог в руб
+FRHC.15MAR2024.P80,-,OTC,Продажа,13,4.03,USD,5239.0,0.0,0.0,USD,2024-02-29 17:05:26,2024-02-29,375355757/342021042,,0,,91.8692,481302.74,0.00,481302.74
+FRHC.15MAR2024.P80,-,NYSE/NASDAQ,Покупка,13,0.0,USD,0.0,5239.0,0.0,USD,2024-03-15 21:59:59,2024-03-18,379663809/345353009,,0,,91.87,0.00,0.00,0.00
FRHC.US,US3563901046,NYSE/NASDAQ,Покупка,1300,80.0,USD,104000.0,0.0,520.0,USD,2024-03-15 22:59:59,2024-03-19,379697946/345417025,,0,,91.9829,-9566221.60,47831.11,-9614052.71
CELH.US,US15118V2079,NYSE/NASDAQ,Продажа,100,90.4,USD,9040.0,3230.0,45.2,USD,2024-03-18 16:43:31,2024-03-20,379730703/345453290,,1,,92.2243,833707.67,4168.54,829539.13
DIS.US,US2546871060,NYSE/NASDAQ,Продажа,25,113.5,USD,2837.5,153.75,14.19,USD,2024-03-18 16:50:13,2024-03-20,379732350/345454904,,1,,92.2243,261686.45,1308.66,260377.79
SPY.US,US78462F1030,NYSE/NASDAQ,Покупка,88,499.268,USD,43935.58,0.0,219.68,USD,2024-04-19 15:35:56,2024-04-23,388559296/352232958,,1,,93.2519,-4097076.31,20485.58,-4117561.89
FNGU.US,US0636795348,NYSE/NASDAQ,Покупка,156,280.19,USD,43709.64,0.0,218.55,USD,2024-04-19 15:35:55,2024-04-23,388559275/352232949,,1,,93.2519,-4076006.98,20380.20,-4096387.18
TQQQ.US,US74347X8314,NYSE/NASDAQ,Покупка,842,52.015,USD,43796.63,0.0,218.98,USD,2024-04-19 15:35:57,2024-04-23,388559307/352232966,,1,,93.2519,-4084118.96,20420.30,-4104539.26
FNGU.US,US0636795348,NYSE/NASDAQ,Продажа,156,294.54,USD,45948.24,2238.6,229.74,USD,2024-04-24 16:06:20,2024-04-26,389938886/353233991,,1,,92.1314,4233275.68,21166.27,4212109.41
SPY.US,US78462F1030,NYSE/NASDAQ,Продажа,88,506.022,USD,44529.94,594.35,222.65,USD,2024-04-24 16:15:27,2024-04-26,389942502/353238840,,1,,92.1314,4102605.71,20513.06,4082092.65
TQQQ.US,US74347X8314,NYSE/NASDAQ,Продажа,842,54.27,USD,45695.34,1898.71,228.48,USD,2024-04-24 16:14:36,2024-04-26,389942291/353238495,,1,,92.1314,4209975.65,21050.18,4188925.47
+BOIL.28JUN2024.C21,-,NYSE/NASDAQ,Покупка,1,1.01,USD,101.0,0.0,13.0,USD,2024-06-18 16:49:27,2024-06-20,407650936/365734459,,1,,82.6282,-8345.45,1074.17,-9419.62
+BOIL.28JUN2024.C21,-,NYSE/NASDAQ,Покупка,1,1.01,USD,101.0,0.0,3.0,USD,2024-06-18 16:49:27,2024-06-20,407650937/365734459,,1,,82.6282,-8345.45,247.88,-8593.33
