Тикер,Сальдо,Финансовый_результат_в_руб
+BOIL.28JUN2024.C21,0,-26606.28
+FRHC.15MAR2024.P80,0,481302.74
+NKE.12JUL2024.C82,0,-20951.33
+NVDA.12JUL2024.C138,0,-12953.71
+NVDA.12JUL2024.P114,0,-8283.33
AAPL.US,0,-48593.20
AMD.US,0,-277353.31
AMZN.US,0,43744.00
ARM.US,0,-298004.10
AVGO.US,0,-121184.53
CELH.US,100,829539.13
COIN.US,0,213982.47
CRWD.US,0,343742.39
DIS.US,25,260377.79
ETHA.US,-499,-1510932.16
FFSPC2.0926.AIX.KZ,-20,-197107.16
FNGU.US,0,45220.20
FRHC.US,939,7340495.76
GBTC.US,-150,-994981.84
GOOG.US,-50,-935958.15
GOOGL.US,0,-30541.69
HIMS.US,0,655866.87
IVV.US,0,-8251.41
JD.US,30,117489.30
LMND.US,406,1069894.59
LUNR.US,0,515396.25
META.US,0,-23260.93
MSFT.US,0,-49707.76
NKE.US,0,13005.93
OKLO.US,-200,-521630.24
ONDS.US,-100,-20739.33
RIVN.US,-1,-1422.26
SLV.US,0,-83607.28
SMCI.US,0,-294888.74
SMH.US,0,-2724.15
SOXL.US,0,-348298.34
SPUU.US,0,-41402.48
SPXL.US,0,20955.98
SPY.US,0,-35469.24
TLT.US,-50,-449092.08
TMF.US,0,-75016.26
TQQQ.US,0,-19109.21
TSLQ.US,0,3918.84
UPRO.US,0,126533.79
USD.US,0,-104494.21
VOO.US,0,17588.06
XLK.US,0,229198.97
